,City,Country,Data,Cloudiness,Humidity,Latitude,Longitude,Maximum Temperature,Minimum Temperature,Wind Speed
0,Sorong,ID,1570076875,11,76,-0.86,131.25,302.334,302.334,0.81
1,Georgetown,GY,1570076751,0,94,6.8,-58.16,298.15,298.15,1.7
2,Hofu,JP,1570076876,75,58,34.05,131.57,305.15,300.15,9.3
3,Mataura,NZ,1570076749,86,93,-46.19,168.86,281.48,281.48,1.79
4,Wakkanai,JP,1570076877,75,73,45.41,141.67,295.15,295.15,3.6
5,Novo Cruzeiro,BR,1570076877,0,83,-17.47,-41.88,287.464,287.464,1.01
6,Tura,RU,1570076828,100,96,64.27,100.22,274.994,274.994,3.17
7,Rikitea,PF,1570076753,90,76,-23.12,-134.97,291.144,291.144,4.38
8,Maple Creek,CA,1570076878,0,91,49.91,-109.46,273.474,273.474,3.19
9,Mahebourg,MU,1570076797,75,94,-20.41,57.7,297.04,296.15,3.1
10,Ballina,IE,1570076879,100,83,54.11,-9.15,281.48,279.82,2.24
11,Luhyny,UA,1570076880,100,80,51.08,28.4,287.624,287.624,3.0
12,Port Hardy,CA,1570076490,90,93,50.7,-127.42,283.15,283.15,6.2
13,Mar del Plata,AR,1570076759,0,37,-46.43,-67.52,281.194,281.194,3.38
14,Castro,CL,1570076881,0,100,-42.48,-73.76,274.15,274.15,2.6
15,Busselton,AU,1570076763,100,68,-33.64,115.35,294.26,293.15,0.45
16,Praya,ID,1570076881,20,52,-8.71,116.27,304.15,304.15,3.1
17,Hofn,IS,1570076882,100,99,64.25,-15.21,272.764,272.764,6.19
18,Srednekolymsk,RU,1570076802,100,88,67.46,153.71,271.504,271.504,9.42
19,Mao,DO,1570076883,75,100,19.55,-71.08,298.71,295.37,1.75
20,Honiara,SB,1570076883,40,66,-9.43,159.96,303.15,303.15,6.2
21,Aklavik,CA,1570076812,90,93,68.22,-135.01,277.15,277.15,4.1
22,Oktyabrskoye,RU,1570076884,0,74,56.73,85.44,284.26,282.04,5.0
23,Bredasdorp,ZA,1570076777,36,87,-34.53,20.04,284.15,284.15,2.6
24,Balkanabat,TM,1570076884,0,21,39.51,54.36,291.924,291.924,2.61
25,Vaini,IN,1570076746,20,78,15.34,74.49,299.15,299.15,3.1
26,Cape Town,ZA,1570076327,20,93,-33.93,18.42,287.59,282.59,1.0
27,Namibe,AO,1570076810,53,82,-15.19,12.15,291.444,291.444,2.94
28,Kruisfontein,ZA,1570076765,100,74,-34.0,24.73,287.754,287.754,7.28
29,Jamestown,AU,1570076764,12,19,-33.21,138.6,301.734,301.734,0.65
30,Khash,IR,1570076886,70,45,28.22,61.21,291.594,291.594,1.93
31,Ribeira Grande,PT,1570076818,100,68,38.52,-28.7,294.004,294.004,3.88
32,Pevek,RU,1570076887,100,72,69.7,170.27,271.634,271.634,3.51
33,Bambous Virieux,MU,1570076844,75,94,-20.34,57.76,297.04,296.15,3.1
34,Makakilo City,US,1570076787,90,83,21.35,-158.09,301.48,297.04,5.7
35,Maun,BW,1570076888,0,67,-19.99,23.42,289.15,289.15,5.7
36,Bluff,AU,1570076762,0,29,-23.58,149.07,300.234,300.234,5.92
37,San Patricio,PY,1570076888,100,94,-26.98,-56.83,292.764,292.764,2.85
38,Ushuaia,AR,1570076646,20,96,-54.81,-68.31,278.15,278.15,11.8
39,Puerto Ayora,EC,1570076682,47,93,-0.74,-90.35,292.59,292.59,0.45
40,Punta Arenas,CL,1570076748,0,77,-53.16,-70.91,278.15,278.15,8.7
41,Sitka,US,1570076812,89,93,37.17,-99.65,287.04,285.37,8.05
42,Cilegon,ID,1570076890,40,55,-6.02,106.05,305.15,304.82,2.1
43,Chuy,UY,1570076768,97,76,-33.69,-53.46,286.974,286.974,8.08
44,Meulaboh,ID,1570076890,98,80,4.14,96.13,299.434,299.434,4.31
45,Arraial do Cabo,BR,1570076825,0,84,-22.97,-42.02,293.934,293.934,11.98
46,Dikson,RU,1570076794,100,70,73.51,80.55,270.104,270.104,10.89
47,Saldanha,PT,1570076774,100,62,41.42,-6.55,286.244,286.244,0.58
48,Hobart,AU,1570076592,0,27,-42.88,147.33,300.93,298.15,3.6
49,Merrill,US,1570076893,40,65,42.03,-121.6,282.04,279.26,3.1
50,Tuktoyaktuk,CA,1570076761,90,100,69.44,-133.03,275.15,275.15,6.2
51,Kapaa,US,1570076669,40,74,22.08,-159.32,302.15,298.15,8.7
52,Carnarvon,ZA,1570076829,61,31,-30.97,22.13,282.954,282.954,1.1
53,Peniche,PT,1570076894,20,82,39.36,-9.38,289.15,285.93,2.6
54,Nikolskoye,RU,1570076761,90,93,59.7,30.79,278.15,278.15,4.0
55,Flinders,AU,1570076895,0,28,-34.58,150.85,303.15,299.26,4.6
56,Asyut,EG,1570076895,0,37,27.18,31.19,295.964,295.964,3.45
57,Luderitz,NA,1570076759,0,93,-26.65,15.16,286.054,286.054,10.76
58,Calabozo,VE,1570076896,0,85,8.92,-67.43,297.424,297.424,2.3
59,Kalabo,ZM,1570076896,78,35,-15.0,22.67,292.244,292.244,3.59
60,Coos Bay,US,1570076587,90,93,43.37,-124.22,285.37,283.15,2.1
61,Avarua,CK,1570076783,33,64,-21.21,-159.78,297.15,297.15,3.1
62,Butaritari,KI,1570076752,100,59,3.07,172.79,302.524,302.524,1.09
63,Pignon,HT,1570076897,76,92,19.34,-72.12,294.744,294.744,1.74
64,Gritsovskiy,RU,1570076897,58,77,54.14,38.16,283.194,283.194,5.02
65,Komsomolskiy,RU,1570076756,100,87,67.55,63.78,276.824,276.824,6.99
66,Almenara,BR,1570076898,28,99,-16.17,-40.69,288.844,288.844,1.14
67,Hithadhoo,MV,1570076762,95,80,-0.6,73.08,301.124,301.124,7.38
68,San Cristobal,HN,1570076857,100,95,14.68,-86.92,292.384,292.384,1.63
69,Fortuna,US,1570076789,90,76,40.6,-124.16,285.37,283.15,3.21
70,Ostrovnoy,RU,1570076899,93,76,68.05,39.51,274.314,274.314,8.6
71,Nemuro,JP,1570076899,75,82,43.32,145.57,293.15,293.15,5.7
72,Cockburn Town,TC,1570076850,11,68,21.46,-71.14,301.474,301.474,1.68
73,Guerrero Negro,MX,1570076900,0,79,27.97,-114.04,292.364,292.364,6.21
74,Nassau,AT,1570076900,75,66,46.81,15.34,282.59,280.93,1.5
75,Hilo,US,1570076855,90,83,19.71,-155.08,298.15,294.26,4.1
76,Luanda,AO,1570076901,75,94,-8.83,13.24,296.15,296.15,2.6
77,Baykit,RU,1570076901,100,99,61.68,96.39,275.354,275.354,2.56
78,Seydi,NE,1570076901,0,65,13.34,7.75,299.364,299.364,5.45
79,Broome,GB,1570076790,1,86,52.47,1.45,280.37,274.15,3.04
80,Qaanaaq,GL,1570076793,26,71,77.48,-69.36,267.144,267.144,1.83
81,Mangrol,IN,1570076902,0,74,25.33,76.51,301.15,301.15,0.5
82,Bilma,NE,1570076902,0,12,18.69,12.92,301.804,301.804,3.66
83,Cap Malheureux,MU,1570076831,75,94,-19.98,57.61,297.04,296.15,3.1
84,Raudeberg,NO,1570076903,40,66,61.99,5.14,282.15,278.71,6.2
85,Cifuentes,CU,1570076903,40,94,22.65,-80.05,297.15,296.15,1.0
86,Chor,PK,1570076904,45,75,25.52,69.77,301.414,301.414,6.26
87,East London,ZA,1570076513,0,63,-33.02,27.91,290.15,290.15,7.2
88,Qesarya,IL,1570076904,20,78,32.52,34.9,295.15,293.15,1.5
89,Bozdar,PK,1570076905,40,65,27.18,68.64,301.15,301.15,5.1
90,Brockville,CA,1570076905,90,81,44.59,-75.69,282.04,278.15,2.6
91,Mgandu,TZ,1570076905,0,86,-5.96,34.11,289.344,289.344,4.85
92,Thompson,CA,1570076773,5,79,55.74,-97.86,270.15,270.15,2.02
93,Abu Samrah,SY,1570076906,0,92,35.3,37.18,291.124,291.124,3.5
94,Khatanga,RU,1570076781,0,68,71.98,102.47,268.604,268.604,3.78
95,Lukulu,ZM,1570076906,31,54,-14.38,23.24,292.214,292.214,2.43
96,Ponta do Sol,BR,1570076754,0,51,-20.63,-46.0,295.024,295.024,1.36
97,Atuona,PF,1570076750,24,72,-9.8,-139.03,299.864,299.864,3.65
98,Port Elizabeth,US,1570076652,90,65,39.31,-74.98,300.15,295.93,5.1
99,Kahului,US,1570076646,40,65,20.89,-156.47,301.15,296.48,7.2
100,Tiksi,RU,1570076503,100,87,71.64,128.87,269.024,269.024,12.24
101,Wuxi,CN,1570076907,21,51,31.58,120.3,305.37,303.71,3.12
102,Nome,US,1570076820,1,88,30.04,-94.42,299.82,296.15,1.55
103,Provideniya,RU,1570076798,75,75,64.42,-173.23,276.15,276.15,7.0
104,Yellowknife,CA,1570076684,75,61,62.45,-114.38,282.15,280.93,4.6
105,Saskylakh,RU,1570076761,4,76,71.97,114.09,266.144,266.144,0.39
106,Saint-Philippe,CA,1570076765,1,80,45.36,-73.48,279.82,275.93,2.1
107,Kenai,US,1570076909,1,75,60.55,-151.26,280.93,279.82,0.96
108,Gamba,CN,1570076910,79,66,28.28,88.52,276.184,276.184,1.69
109,Lata,IN,1570076910,7,56,30.78,78.62,277.524,277.524,2.16
110,Glens Falls,US,1570076911,1,61,43.31,-73.64,283.15,278.15,6.2
111,Te Anau,NZ,1570076768,8,76,-45.41,167.72,279.804,279.804,4.1
112,Westport,US,1570076911,90,93,41.14,-73.36,292.59,286.15,7.2
113,Salinas,US,1570076796,1,58,36.67,-121.66,290.37,284.26,4.6
114,New Norfolk,AU,1570076531,0,27,-42.78,147.06,300.93,298.15,3.6
115,Kavieng,PG,1570076912,41,69,-2.57,150.8,301.514,301.514,0.52
116,Kalmunai,LK,1570076912,2,65,7.42,81.82,301.794,301.794,2.33
